Category,Label,Originated_By,Source,Text
politics war economy health etc ,0,rand paul,poltifact,president spokesman ask anwar al awlaki son say chosen responsible father
indian news,1,the hindu,the hindu,sumalatha driver rough complaint file mp blame jd worker
politics war economy health etc ,0,toni preckwinkle,poltifact,say susana mendoza supporter death penalty could administer sleep like baby night
politics war economy health etc ,0,russ feingold,poltifact,accord independent analysis unfair trade deal result loss 64 000 job wisconsin ron johnson favor deal
politics war economy health etc ,0,jb pritzker,poltifact,actually use arpa american rescue plan act fund pay state unemployment insurance fund deficit
politics war economy health etc ,0,facebook posts,poltifact,judge order mean constitution exemption zone live within 100 mile united state border
politics war economy health etc ,0,bill pascrell,poltifact,say president barack obama raise tax
politics war economy health etc ,1,paul ryan,poltifact,day cuban government regime provide safe harbor terrorist fugitive
politics war economy health etc ,0,bill mccollum,poltifact,florida cost medicaid expansion billion year
politics war economy health etc ,1,dick cheney,poltifact,number terrorist double
politics war economy health etc ,0,phil gingrey,poltifact,current immigration policy literally one person green card extreme bring 270 relative
politics war economy health etc ,0,robert brown,poltifact,democratic party input location hearing input process
politics war economy health etc ,1,sean patrick maloney,poltifact,people medicaid kid senior disabled
indian news,1,the hindu,the hindu,cyberabad police launch anti drug abuse committee school college hyderabad
politics war economy health etc ,0,joel giambra,poltifact,candidate stage actually cut tax
covid19 news,1,bbc,bbc,long covid patient advice sought shape service manx care hope hear long covid sufferer help set dedicate service
politics war economy health etc ,1,gwen moore,poltifact,low wage worker single child literally tax poverty
politics war economy health etc ,0,protect american jobs,poltifact,measure repeal state prevail wage law would make easy state contractor hire illegal worker wisconsin construction job illegal worker loophole state budget
indian news,1,the hindu,the hindu,four science park set project complete within three year
politics war economy health etc ,0,debbie wasserman schultz,poltifact,lose 750 000 job month administration economy barack obama 20 straight month growth add million job private sector add million job manufacturing
business news,1,bbc,bbc,former apprentice winner honour cover claude entertainment reporter
politics war economy health etc ,0,barack obama,poltifact,one interest thing recovery act project come budget faster expect lot work
politics war economy health etc ,0,bill seitz,poltifact,say secretary state jon husted former secretary jennifer brunner support provision senate bill 47 would limit day organizer collect signature initiative referendum petition
usa news,1,abc news,abc news,location march 24 2022 catch develop story make headline
politics war economy health etc ,0,national republican congressional committee,poltifact,arkansas democratic congressional candidate chad causey washington bureaucrat
politics war economy health etc ,0,barack obama,poltifact,pay go principle help transform large deficit surplus 1990s
politics war economy health etc ,0,donald trump,poltifact,say one give nickname mad dog former defense secretary james mattis
entertainment news,1,abc news,abc news,u best seller book usatoday usa today best sell book week end 20 2022
politics war economy health etc ,0,viral image,poltifact,photo show former french education minister najat vallaud belkacem herd sheep child morocco
politics war economy health etc ,1,alfredo gutierrez,poltifact,new arizona immigration law say police officer stop anyone appear reasonably suspicious undocumented person
indian news,1,the hindu,the hindu,legislator issue three vehicle sticker every year sticker contains security hologram name member constituency represent
politics war economy health etc ,0,scott walker,poltifact,wisconsin one high taxed state nation
politics war economy health etc ,1,barack obama,poltifact,john mccain want give oil company another billion tax break
politics war economy health etc ,0,chris christie,poltifact,assembly democrat want raise gas tax billion say ground sweat twitch ugly cause keep say
indian fake news,0,times of india,times of india,fake clat website try cheat wait list aspirant offering admission
politics war economy health etc ,0,rick santorum,poltifact,fox news presidential debate rule place 1992 election bill clinton stage
politics war economy health etc ,1,sean patrick maloney,poltifact,people medicaid kid senior disabled
politics war economy health etc ,0,bernie sanders,poltifact,united state high rate childhood poverty almost major country earth
indian news,1,the hindu,the hindu,man slit wife throat sleep attempt suicide bengaluru
indian news,1,the hindu,the hindu,massive fire break near cantonment ug metro station accord bmrcl fire police official material caught fire polystyrene cause heavy smoke ca
politics war economy health etc ,0,facebook posts,poltifact,case forgot two year ago today experience great economy history world
politics war economy health etc ,0,charles koch,poltifact,epa official commend koch industry commitment cleaner environment call u model company
politics war economy health etc ,0,russ feingold,poltifact,say ron johnson benefiting several super pac
politics war economy health etc ,1,bloggers,poltifact,say sean hannity say 2008 obama willingness meet north korea disturb trump willingness meet north korea huge foreign policy win
politics war economy health etc ,0,facebook posts,poltifact,thousand military ballot found trash wisconsin
politics war economy health etc ,0,facebook posts,poltifact,say rioter accidentally drop riot manual detailed instruction
politics war economy health etc ,0,richard blumenthal,poltifact,trumpcare yank tax credit away veteran unlike american
politics war economy health etc ,0,facebook posts,poltifact,ukrainian tiktoker show drive abandon russian armored vehicle
politics war economy health etc ,0,chain email,poltifact,obama use 20 million federal money emmigrate sic hamas refugee usa
politics war economy health etc ,1,carol miller,poltifact,two week ago custom border protection seize enough fentanyl kill every person west virginia 32 time
politics war economy health etc ,1,deepwater wind,poltifact,know block island wind farm would mean 40 est drop bi electric rate
politics war economy health etc ,1,george allen,poltifact,governor tuition skyrocket stop capped froze college tuition
politics war economy health etc ,0,matthew hill,poltifact,say abortion doctor fly state perform abortion fly
politics war economy health etc ,0,jim mcdermott,poltifact,bush tax cut go people top percent country
politics war economy health etc ,0,john mccain,poltifact,obama say raise tax electricity
politics war economy health etc ,0,kenneth block,poltifact,rhode island nearly percent cover employee go short term disability every year average outage work almost 12 week
asian news,1,bbc,bbc,toll rise indonesia volcano buries village mount semeru continued active since major eruption island java sunday
politics war economy health etc ,0,viral image,poltifact,photo show joe biden grope jen psaki
climate news,1,bbc,bbc,climate denial spread foreign language wikipedia page language english wrongly suggest scientist divide cause global warm
politics war economy health etc ,0,lars larson,poltifact,every time weight vehicle reduce hundred pound chance die go go percent peel three hundred pound 15 percent likely die car
asian news,1,bbc,bbc,pollution delhi home bad outdoors study india capital routinely top list world pollute city
politics war economy health etc ,0,tomorrow s vision of florida,poltifact,say ron saunders make choice stand rick scott expand school voucher restrict scholarship give tax break wealthy
politics war economy health etc ,0,viral image,poltifact,image show rep elise stefanik flip camera impeachment proceeding
politics war economy health etc ,0,viral image,poltifact,graph show number human traffic arrest increase dramatically president donald trump
politics war economy health etc ,0,viral image,poltifact,photo show brave woman red cross arrive normandy day help injured troop
indian news,1,the hindu,the hindu,well err side caution ensure public health pandemic tn tell sc state say vaccine mandate issue circular november last back law
politics war economy health etc ,0,barack obama,poltifact,say deficit plan make adjustment simpson bowles put forward congress right trillion plan
politics war economy health etc ,0,rick perry,poltifact,sanction iranian central bank shut iran economy
politics war economy health etc ,0,pat boone,poltifact,independent payment advisory board create health care reform law ration care deny certain medicare treatment
politics war economy health etc ,0,donald trump,poltifact,know saddam hussein well kill terrorist
indian news,1,the hindu,the hindu,seer appeal animal sacrifice duggamma jatre davangere president vishwa prani kalyana mandali dayanand swami appeal people davangere surround village sacrifice animal
technology news,1,bbc,bbc,zara paypal samsung suspend business russia inditex own zara several major brand close 502 store russia
indian news,1,the hindu,the hindu,isl spot everything say hyderabad fc coach manolo marquez hyderabad fc coach attribute success hard work camaraderie
politics war economy health etc ,0,thenewyorkevening com,poltifact,donald trump dead fatal heart attack
politics war economy health etc ,1,charlie crist,poltifact,say rick scott sign law require mandatory ultrasound restrict access abortion even case rape incest
ukraine russia war,1,bbc,bbc,trap african drinking melt snow ukraine city
covid19 news,1,bbc,bbc,coronavirus even update five thing need know coronavirus pandemic monday even
politics war economy health etc ,0,bloggers,poltifact,say dianne feinstein say vet mentally ill way government prevent own firearm
indian news,1,the hindu,the hindu,t team visit maharashtra study crop pattern hyderabad
politics war economy health etc ,1,lee fisher,poltifact,want see job save create storm help create go anywhere ohio
politics war economy health etc ,0,bloggers,poltifact,say vin diesel declare love rockford ill local provide car help hospitality
politics war economy health etc ,0,rick santorum,poltifact,say 2001 rick perry spoke favorably binational health insurance mexico texas
politics war economy health etc ,0,majority pac,poltifact,tim kaine make virginia best state business four year row
indian news,1,the hindu,the hindu,high court verdict amaravati open criticism sans mala fide intention judgment interpret reckless manner say former rti commissioner
politics war economy health etc ,0,john boehner,poltifact,even advocate wipe 401 entirely replace government run account
politics war economy health etc ,0,viral image,poltifact,biden flash white power sign black man ask question
politics war economy health etc ,0,wayne rogers,poltifact,200 document case obama lie
business news,1,bbc,bbc,20 activision staff leave claim
business news,1,bbc,bbc,uk company perform well overseas owner business editor
covid19 news,1,bbc,bbc,quadruple amputee worried covid rule end
climate news,1,bbc,bbc,china climate policy matter u global battle climate change likely lose china
asian news,1,bbc,bbc,indian actor apologises badminton star tweet actor tweet drew outrage allegedly use sexual slur charge deny
politics war economy health etc ,0,tweets,poltifact,classify document ukraine confirm without shadow doubt ukraine government covertly prepare offensive operation donbas schedule march 2022
indian news,1,the hindu,the hindu,private bus owner stir march 24 thiruvananthapuram
politics war economy health etc ,0,rick santorum,poltifact,epa director obama say clean power initiative would effect man make co2 emission say go look
ukraine russia war,1,bbc,bbc,zinchenko mission reveal truth oleksandr zinchenko thanks world stand ukraine emotional interview bbc sport
indian news,1,the hindu,the hindu,gear manage tourist arrival udhagamandalam kodaikanal hc tell collector ban one time use plastic product must implement strictly
politics war economy health etc ,0,ron johnson,poltifact,say rus feingold vote give social security benefit illegal immigrant
politics war economy health etc ,0,facebook posts,poltifact,say gov tony evers remove american flag capitol building
business news,1,bbc,bbc,sacklers win immunity opioid litigation business reporter new york
politics war economy health etc ,0,instagram posts,poltifact,video show covid 19 vaccine hit blood
politics war economy health etc ,1,taylor swift,poltifact,say marsha blackburn vote reauthorization violence woman act attempt protect woman domestic violence stalk date rape
politics war economy health etc ,0,donald trump,poltifact,say hillary clinton help man accuse rap 12 year old see laugh two separate occasion laugh girl rap
ukraine russia war,1,bbc,bbc,biden call putin war criminal first time cuff remark prompt russia call comment unforgiveable rhetoric
covid19 news,1,bbc,bbc,sound city lockdown
politics war economy health etc ,0,hogan gidley,poltifact,president donald trump say anything capitol riot platform remove
politics war economy health etc ,1,mitch mcconnell,poltifact,senate health care bill contain limit medical malpractice lawsuit
politics war economy health etc ,0,tweets,poltifact,classify document ukraine confirm without shadow doubt ukraine government covertly prepare offensive operation donbas schedule march 2022
asian news,1,bbc,bbc,beijing tech crackdown china new data rule
politics war economy health etc ,0,paul broun,poltifact,late unemployment number show nearly 315 000 american simply give hope come find job
politics war economy health etc ,0,bloggers,poltifact,say patrick henry say constitution document government restrain people instrument people restrain government
politics war economy health etc ,0,solar energy fairness,poltifact,big rooftop solar plan force nevada family solar panel pay high power bill subsidize rooftop solar
indian news,1,the hindu,the hindu,animal ambulance service tele vet unit across kerala minister district level farmer meet begin alappuzha
business news,1,bbc,bbc,russia soon unable pay debt warns agency
politics war economy health etc ,0,viral image,poltifact,broken voting machine russellville ark try automatically tally vote meant donald trump vote joe biden
politics war economy health etc ,0,viral image,poltifact,say photo show joe biden grope woman
politics war economy health etc ,0,thomas massie,poltifact,say voltaire say learn rule simply find allow criticize
business news,1,bbc,bbc,holidaymaker told use 132m refund voucher
politics war economy health etc ,0,donald trump,poltifact,say unemployment rate african american youth 59 percent
politics war economy health etc ,0,donald trump,poltifact,say one give nickname mad dog former defense secretary james mattis
politics war economy health etc ,1,ed gillespie,poltifact,president george bush 52 month uninterrupted job creation revenue time high 2007
politics war economy health etc ,0,rahm emanuel,poltifact,case general motor bush administration write check without ask condition change
politics war economy health etc ,0,ron johnson,poltifact,say rus feingold vote raise tax social security benefit senior even try give social security benefit illegal immigrant
politics war economy health etc ,1,john hutson,poltifact,donald trump call military serve disaster
politics war economy health etc ,0,joe biden,poltifact,say donald trump push slash medicare benefit
indian news,1,the hindu,the hindu,39 43 lakh people infect karnataka two year pandemic 45 total caseload 42 total fatality bengaluru urban
politics war economy health etc ,0,maria shriver,poltifact,two third american family rely mother income stay poverty level
ukraine russia war,1,bbc,bbc,former pm back nuremberg style trial putin gordon brown sir john major join call international tribunal investigate russia
ukraine russia war,1,bbc,bbc,scot vow sign home ukraine scheme scheme host refugee go live scot pledge open home people
politics war economy health etc ,1,james florio,poltifact,many type fish shellfish water across state label unsafe eat
politics war economy health etc ,0,national republican congressional committee,poltifact,arkansas democratic congressional candidate chad causey washington bureaucrat
politics war economy health etc ,0,rand paul,poltifact,say hillary clinton ask repeatedly provide security benghazi several occasion include direct cable
politics war economy health etc ,1,hillary clinton,poltifact,say trump tie make china colorado trump suit mexico michigan trump furniture turkey ohio trump picture frame india wisconsin
politics war economy health etc ,1,hillary clinton,poltifact,best year auto industry america history
politics war economy health etc ,1,clarence mcneill,poltifact,use possession marijuana college campus remains prohibit federal law
indian news,1,the hindu,the hindu,rajam cheepurupalli vie revenue division status andhra pradesh decision give bobbili tag go well people
politics war economy health etc ,1,michael bloomberg,poltifact,soda tax make difference reduce consumption unhealthy soda pop sugary beverage
indian news,1,the hindu,the hindu,andhra pradesh ttd release online quota arjitha seva ticket march 20 sevas resume tirumala temple april
politics war economy health etc ,0,mark o mara,poltifact,literally time child 18 year age kill 100 000 people video game online thing
climate news,1,bbc,bbc,climate change make inequality bad
politics war economy health etc ,0,donald trump,poltifact,say top clinton adviser press birther movement story hard
politics war economy health etc ,0,donald trump,poltifact,130 legislator chamber endorse legislation would bankrupt nation provide free taxpayer fund health care million illegal alien force taxpayer subsidize free care anyone world unlawfully cross border
politics war economy health etc ,1,fareed zakaria,poltifact,tally representation congress governorship democrat almost low representation 100 year
climate news,1,bbc,bbc,picture scotland young climate activist photographer andrew cawley set capture scottish greta thunbergs camera ahead cop26
politics war economy health etc ,0,ken cuccinelli,poltifact,say virginia save 300 million rebidding metrorail construction project exclude guaranteed union contract
politics war economy health etc ,0,u s  chamber of commerce,poltifact,say sen sherrod brown vote block american energy production increase energy tax
asian news,1,bbc,bbc,cathay pacific loss narrow despite virus curb airline warn loss hong kong tighten aircrew quarantine rule
technology news,1,bbc,bbc,tiktok act unhealthy eat video app remove video encourage short term fast exercise
politics war economy health etc ,0,don huffines,poltifact,sixty two percent texas property tax paid business
politics war economy health etc ,0,viral image,poltifact,image crowd crowd arena take today tulsa oklahoma
politics war economy health etc ,0,starbucks,poltifact,coffee second trade commodity oil
politics war economy health etc ,1,facebook posts,poltifact,say researcher found fabric kill coronaviruses
politics war economy health etc ,0,bob buckhorn,poltifact,tampa bay lead state job creation
indian news,1,the hindu,the hindu,probe headmistress allow student paint school floor parent refuse give communal colour incident
politics war economy health etc ,0,tammy hall,poltifact,job incentive program create 200 high wage job since 2009
politics war economy health etc ,0,john cornyn,poltifact,say royce west stood wendy davis support painful late term abortion
politics war economy health etc ,0,facebook posts,poltifact,say four democrat sheila jackson lee joe biden elizabeth warren alexandria ocasio cortez make specific suspect remark topic constitution abortion gun
politics war economy health etc ,0,viral image,poltifact,say kamala harris say vaccinate people hospitalize die covid 19
politics war economy health etc ,1,dallas woodhouse,poltifact,say election protest file mccready concede every county board certify result mark harris dan mccready race
politics war economy health etc ,0,rob portman,poltifact,democrat lead senate fail pas budget 750 day senate democrat neglect one basic responsibility
politics war economy health etc ,0,robert dold,poltifact,dan seal run office since like ipod
politics war economy health etc ,0,georgia association of latino elected officials,poltifact,georgia legislation immigration copycat arizona immigration bill
politics war economy health etc ,0,brendan reilly,poltifact,say adolf hitler donald trump described deportation military operation
politics war economy health etc ,0,ron paul,poltifact,gop presidential hopeful herman cain call ron paul follower ignorant
politics war economy health etc ,1,colleen deacon,poltifact,say rep john katko promise vote defund plan parenthood since office do four time
politics war economy health etc ,0,chris king,poltifact,say congressional budget office report found low income senior florida face 800 percent premium increase american health care act
politics war economy health etc ,0,facebook posts,poltifact,audit 2020 election maricopa county ariz confirm rumor real ballot special watermark
politics war economy health etc ,1,paul sarlo,poltifact,state unemployment rate fifth high country full point nationwide rate high neighbor state
politics war economy health etc ,0,president trump s lawyers,poltifact,say president donald trump dictate short accurate response new york time article trump tower meeting russian
indian fake news,0,times of india,times of india,fact check video bihar show cop slap rickshaw driver share one
indian news,1,the hindu,the hindu,mch improve service emergency wing reach casualty acute emergency manage without delay
indian news,1,the hindu,the hindu,india present exemplary model covid management health minister mandaviya lauds contribution healthcare worker fight pandemic
politics war economy health etc ,1,donald trump,poltifact,general motor send mexican make model chevy cruze car dealer tax free across border
politics war economy health etc ,0,dan lucas,poltifact,governor propose budget raid 12 school fund grow dhs
politics war economy health etc ,0,national republican congressional committee,poltifact,say lucy mcbath vote release criminal prison murderer rapist
politics war economy health etc ,0,facebook posts,poltifact,say milwaukee police protect sex offender house snuck child mother tracked miss daughter address
indian news,1,the hindu,the hindu,md salim appoint west bengal state secretary cpi elevation top post crucial time party focus representation want bring young people
politics war economy health etc ,0,kellyanne conway,poltifact,two iraqi come country radicalize mastermind behind bowling green massacre get cover
climate news,1,bbc,bbc,woman often bad hit climate change climate change affect every person planet study found affect woman
politics war economy health etc ,0,bloggers,poltifact,spicer trump legal right cancel scotus serve pleasure
politics war economy health etc ,0,dinesh d souza,poltifact,senator salary perk bernie top percent still paid 13 percent tax last year
politics war economy health etc ,0,james langevin,poltifact,obama administration drilling produce domestic energy supply ever
entertainment news,1,abc news,abc news,rick astley celebrates 1987 debut album reissue pop star take time hit big time put album one stick
politics war economy health etc ,1,chris christie,poltifact,say republican election presidency new jersey since 1988
politics war economy health etc ,0,lenny curry,poltifact,law group could go anywhere register voter sit voter registration form unlimited amount time
politics war economy health etc ,0,donald trump,poltifact,anybody want test coronavirus get test
politics war economy health etc ,0,katrina shankland,poltifact,wisconsin pace double number layoff year
politics war economy health etc ,0,hillary clinton,poltifact,two donald trump tax return show paid penny tax
politics war economy health etc ,0,scott fitzgerald,poltifact,mask mandate child lead learn loss harm early childhood development
politics war economy health etc ,0,chain email,poltifact,obama give almost million dollar kenya opposition campaign happen cousin raila odinga
asian news,1,bbc,bbc,baby centre major indian scandal mother search miss baby india cause outrage whip political storm
politics war economy health etc ,1,marco rubio,poltifact,increase amount evidence public polling high number american ever identify pro life
politics war economy health etc ,0,adam putnam,poltifact,san francisco takoma park md allow illegals vote
politics war economy health etc ,0,dale peterson,poltifact,say opponent dorman grace brag facebook page receive illegal campaign contribution
politics war economy health etc ,1,pat carlson,poltifact,texas school even teach sex education
politics war economy health etc ,0,anthony weiner,poltifact,clear letter law justice clarence thomas must recuse case challenge constitutionality health care law
indian news,1,the hindu,the hindu,woman commits suicide two child rajanna sircilla
politics war economy health etc ,1,mark pocan,poltifact,majority state marry freely still fire love
politics war economy health etc ,0,bloggers,poltifact,barack obama love che guevara
politics war economy health etc ,0,veronica escobar,poltifact,begin see increase unaccompanied minor go back last april 2020 something happen result joe biden become president
politics war economy health etc ,1,carla smith,poltifact,city atlanta either high second high average water bill country
business news,1,bbc,bbc,petrol price hit record high say rac
politics war economy health etc ,1,mark warner,poltifact,right spending time high close 25 percent gdp spent federal government revenue almost time low 15 percent gdp
covid19 news,1,bbc,bbc,ticket sale radio big weekend ticket saturday 28 may sell within hour bbc radio say
politics war economy health etc ,0,jon tester,poltifact,dark money pay 80 percent kavanaugh ad
politics war economy health etc ,0,chain email,poltifact,peter defazio sneak percent tax banking transaction
politics war economy health etc ,1,one wisconsin now,poltifact,two third wisconsin corporation pay state income tax
politics war economy health etc ,1,bill clinton,poltifact,say hillary clinton triple number people aid whose life save cost money
politics war economy health etc ,1,bernie sanders,poltifact,since welfare reform sign law number family living extreme poverty double
climate news,1,bbc,bbc,northern ireland warm autumn record also dullest autumn 75 year accord figure met office
politics war economy health etc ,0,bill clinton,poltifact,hillary clinton one time late night exhaust misstate immediately apologize happen bosnia 1995
business news,1,bbc,bbc,travel rule change positive say airline
politics war economy health etc ,0,mary taylor,poltifact,say even child obamacare would still carry insurance cover pediatric maternity newborn care even though need
politics war economy health etc ,0,bruce rauner,poltifact,newspaper frame election fight illinois mafia
politics war economy health etc ,1,jeff mullis,poltifact,georgia loses million dollar revenue people go state buy firework
politics war economy health etc ,1,george will,poltifact,federal spending discretionary interest national debt social security discretionary discretion change law true medicare medicaid
politics war economy health etc ,0,tom price,poltifact,think look entire federal government president commitment fight opioid addiction see actually hundred million dollar increase issue
indian news,1,the hindu,the hindu,official avoid proper reply loan take govt corporation alleges bjp vijayawada
politics war economy health etc ,1,lamar smith,poltifact,town hall meeting health care abc even allow ad oppose president health care plan air
ukraine russia war,1,bbc,bbc,friend drove supply ukraine
politics war economy health etc ,0,bloggers,poltifact,denzel washington trump avoid war russia orwellian police state
politics war economy health etc ,0,brit hume,poltifact,say president barack obama send much large force deal ebola isi get
politics war economy health etc ,0,wendy davis,poltifact,texas cutoff aid woman health care service include plan parenthood clinic 150 000 woman lose health care medicaid birth rate shot cost taxpayer 130 million one year alone extra medicaid birth cost
politics war economy health etc ,0,donald trump,poltifact,say hillary clinton want abolish second amendment
politics war economy health etc ,0,troy balderson,poltifact,lot people still deal lack access health care county former senate district doctor provider
business news,1,bbc,bbc,morrison warns driver shortage raise price
politics war economy health etc ,0,donald trump,poltifact,violent crime go first time long
politics war economy health etc ,0,protect american jobs,poltifact,measure repeal state prevail wage law would make easy state contractor hire illegal worker wisconsin construction job illegal worker loophole state budget
politics war economy health etc ,1,fred thompson,poltifact,sort service romney health care plan provide per state web site 50 co pay abortion
indian news,1,the hindu,the hindu,msme sector disappointed tamil nadu state budget past four five year msme unit suffer due general recession pandemic provision make budg
politics war economy health etc ,0,robert brown,poltifact,democratic party input location hearing input process
indian news,1,the hindu,the hindu,prescribe uniform school violate fundamental right student can not object hc kv model dress code acceptable lead social separateness
politics war economy health etc ,0,bloggers,poltifact,new regulation require motorcycle owner install 75 mph governor january 2017
politics war economy health etc ,1,barack obama,poltifact,send billion dollar foreign country every day addiction foreign oil
politics war economy health etc ,0,andrew cuomo,poltifact,fifty two county average tax salt 10 000 cap
politics war economy health etc ,0,democratic congressional campaign committee,poltifact,say jim renacci ran washington establishment election hypocritically embrace big money special interest fundraiser
politics war economy health etc ,1,peggy noonan,poltifact,say president reagan second inaugural move inside capitol terrible snowstorm
indian news,1,the hindu,the hindu,andhra pradesh spend csr fund education girl kurnool sp urge industry coromandel international limited sponsor scholarship 100 student
politics war economy health etc ,1,mallard fillmore,poltifact,comic strip say government study show head start little impact child suppose help
politics war economy health etc ,0,allen west,poltifact,afghanistan military leadership propose new medal award courageous restraint fire back
politics war economy health etc ,0,newt gingrich,poltifact,inside stimulus package anti christian legislation stop church use public school meeting sunday well boy scout student bible study group
politics war economy health etc ,0,hillary clinton,poltifact,legal find somebody else salary even exactly job retaliate include fire place
politics war economy health etc ,0,nathan deal,poltifact,georgia elect african american leader state country
ukraine russia war,1,bbc,bbc,kyiv tower block resident record new life siege
indian news,1,the hindu,the hindu,restart mid day meal school say sonia gandhi congress chief express concern number malnourish underweight child go pandemic
politics war economy health etc ,0,jesse kremer,poltifact,earth 000 year old fact
politics war economy health etc ,1,david cicilline,poltifact,providence low crime rate three decade
politics war economy health etc ,0,american crossroads,poltifact,bill nelson lease land own six cow take advantage agricultural tax loophole dodge 43 000 tax last year
technology news,1,bbc,bbc,irish health cyber attack could bad report found attack healthcare system far great impact initially expect
indian news,1,the hindu,the hindu,anil deshmukh case cbi question mumbai police commissioner sanjay pandey sanjay pandey examine six hour connection allege role influence complainant former mumbai police commissione
politics war economy health etc ,0,alex sink,poltifact,bill mccollum say tax cut work
indian news,1,the hindu,the hindu,man slit wife throat sleep attempt suicide bengaluru
politics war economy health etc ,0,hillary clinton,poltifact,say donald trump publicly invite putin hack american email
politics war economy health etc ,0,facebook posts,poltifact,image show ukrainian soldier pray
asian news,1,bbc,bbc,stop malicious hype peng shuai case china question remain tennis star wellbeing china insists diplomatic matter
politics war economy health etc ,0,donald trump,poltifact,say hillary clinton give 20 percent america uranium supply russia
indian news,1,the hindu,the hindu,assembly condoles death rosaiah rich tribute paid former mlas pass away recently
asian news,1,bbc,bbc,pashminas bring woman back lead beautiful craft
politics war economy health etc ,0,donald trump,poltifact,say professional football coach rex ryan championship new york afc think twice
politics war economy health etc ,0,donald trump,poltifact,secure community program 287 immigration program program work recklessly gutted obama administration
politics war economy health etc ,0,democratic party of oregon,poltifact,say matt wand side anti choice activist restrict access reproductive health care service
politics war economy health etc ,0,facebook posts,poltifact,say paul walker set come forward expose clinton foundation crime child haiti kill
politics war economy health etc ,0,barack obama,poltifact,economic crisis big problem whole process deregulation financial system
politics war economy health etc ,0,hillary clinton,poltifact,say never receive sent material marked classify private email server secretary state
politics war economy health etc ,1,eric cantor,poltifact,economy three time big china
politics war economy health etc ,0,tomorrow s vision of florida,poltifact,say ron saunders make choice stand rick scott expand school voucher restrict scholarship give tax break wealthy
politics war economy health etc ,0,chris christie,poltifact,attorney wound put 10 percent state legislature jail seven year
politics war economy health etc ,1,jane o meara sanders,poltifact,berniesanders receives strong support conservative rural part vermont
politics war economy health etc ,0,deb butler,poltifact,say nc appeal court acknowledge state election map skewed block partisan hack
politics war economy health etc ,0,facebook posts,poltifact,mcdonald put aborted baby fetus food
climate news,1,bbc,bbc,eu unveils plan end reliance russian gas eu commission outline ambitious roadmap cut import russian gas two third year
politics war economy health etc ,0,matt flynn,poltifact,say foxconn investigation mainland china security fraud environmental fraud labor fraud
politics war economy health etc ,1,steve adler,poltifact,say austin safest big city texas unemployment rate name best place live entire united state two year run
business news,1,bbc,bbc,stop use fake account facebook tell la police business reporter bbc news
politics war economy health etc ,0,causa oregon,poltifact,american voter remain steadfast support immigration reform path citizenship 70 percent want see reform pass year
politics war economy health etc ,1,public notice,poltifact,41 cent every dollar spends borrow place like china
indian news,1,the hindu,the hindu,police retains top spot skoch police safety ranking police dept bag 23 56 award state
politics war economy health etc ,0,bloggers,poltifact,barack obama tweet sick attack john mccain say die
business news,1,bbc,bbc,covid grant start help need say firm business reporter bbc news
politics war economy health etc ,1,barack obama,poltifact,see whole bunch korean car united state see american car korea
politics war economy health etc ,1,barry hinckley,poltifact,27 000 rhode island job depend trade canada
politics war economy health etc ,0,hillary clinton,poltifact,say sen bernie sander call president barack obama weak call disappointment
politics war economy health etc ,0,donald trump,poltifact,say republican leader work hard cover election corruption wisconsin
indian news,1,the hindu,the hindu,village wild boar hotspot list saseendran promise land deserve pathanamthitta
politics war economy health etc ,0,donald trump,poltifact,trump television ad show mexican swarm southern border
politics war economy health etc ,0,mike ford,poltifact,say fluoride austin put drinking water toxic waste
politics war economy health etc ,0,bernie sanders,poltifact,since 2000 nearly 12 million american slip middle class poverty
politics war economy health etc ,1,scott walker,poltifact,graduation third grade reading score state since take office
business news,1,bbc,bbc,ladbrokes owner repays furlough outcry business reporter bbc news
politics war economy health etc ,0,tom cotton,poltifact,platform make change current medicare system current retiree anyone approach retirement
politics war economy health etc ,0,facebook posts,poltifact,say president barack obama wait six month call swine flu emergency thousand die
politics war economy health etc ,0,ohio democratic party,poltifact,say ohio treasurer josh mandel first claimed bank fraud june 2010 nothing year raise money republican senate campaign
politics war economy health etc ,0,rob portman,poltifact,director fbi say can not figure syrian refugee intention information contact syrian government people ground able determine
politics war economy health etc ,0,david frum,poltifact,eighty percent net new job create state texas since 2009 go foreign born
politics war economy health etc ,0,viral image,poltifact,say ayn rand say question go let go stop
politics war economy health etc ,1,cecile richards,poltifact,60 percent people america support plan parenthood 11 percent approve congress
politics war economy health etc ,1,thomas lindsay,poltifact,approximately 43 percent college grade today increase 28 percentage point since 1960
politics war economy health etc ,0,katrina shankland,poltifact,wisconsin pace double number layoff year
politics war economy health etc ,0,jon kyl,poltifact,say say republican would filibuster immigration reform
indian fake news,0,times of india,times of india,fact check ankit sharma brother denies say brother kill chant jai shri ram
politics war economy health etc ,0,viral image,poltifact,man arrest lubbock texas police gun threat say accomplice go different wal mart store shoot
politics war economy health etc ,1,americans for tax reform,poltifact,commitment voter take seriously incumbent ohio break pledge vote ted strickland income tax hike defeat soundly tuesday
asian news,1,bbc,bbc,india report first omicron case health official say two patient new strain show mild symptom
indian news,1,the hindu,the hindu,vros accommodate department hyderabad
politics war economy health etc ,1,tim pawlenty,poltifact,scientific conclusion gay genetic
indian news,1,the hindu,the hindu,iffk 2022 strike balance filmmaking journalism resemble directorial debut dina amer revolves around two young sister
politics war economy health etc ,1,fidelis,poltifact,obama tap porn lawyer justice
